id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,C1,C2
39,2020-02-11 15:18:44,2,en,2107341589,2020-02-11 15:17:36,2020-02-11 15:18:44,do not know,do not know
40,2020-02-11 15:18:38,2,en,786516496,2020-02-11 15:17:40,2020-02-11 15:18:38,do not know,do not know
41,,1,en,656385170,2020-02-11 15:17:40,2020-02-11 15:18:54,do not know,
42,2020-02-11 15:18:44,2,en,734217962,2020-02-11 15:17:44,2020-02-11 15:18:44,do not know,do not know
43,2020-02-11 15:18:33,2,en,408148394,2020-02-11 15:17:45,2020-02-11 15:18:33,do not know,y will increase
44,2020-02-11 15:18:41,2,en,394507481,2020-02-11 15:17:46,2020-02-11 15:18:41,y will decrease,y will decrease
45,2020-02-11 15:19:48,2,en,1946252460,2020-02-11 15:17:46,2020-02-11 15:19:48,do not know,do not know
46,2020-02-11 15:18:36,2,en,1177004584,2020-02-11 15:17:49,2020-02-11 15:18:36,do not know,do not know
47,,1,en,575192547,2020-02-11 15:17:49,2020-02-11 15:19:09,do not know,
48,2020-02-11 15:18:55,2,en,1456100121,2020-02-11 15:17:49,2020-02-11 15:18:55,y will decrease,do not know
49,2020-02-11 15:19:11,2,en,1262322184,2020-02-11 15:17:50,2020-02-11 15:19:11,y will increase,y will increase
50,2020-02-11 15:19:57,2,en,1580490261,2020-02-11 15:17:50,2020-02-11 15:19:57,do not know,do not know
51,2020-02-11 15:19:08,2,en,102125996,2020-02-11 15:17:53,2020-02-11 15:19:08,y will increase,y will increase
52,2020-02-11 15:18:48,2,en,937097952,2020-02-11 15:17:53,2020-02-11 15:18:47,y will decrease,y will increase
53,2020-02-11 15:18:50,2,en,497409096,2020-02-11 15:17:54,2020-02-11 15:18:50,do not know,do not know
54,2020-02-11 15:19:06,2,en,849137773,2020-02-11 15:17:54,2020-02-11 15:19:06,y will increase,y will increase
55,2020-02-11 15:19:19,2,en,811562702,2020-02-11 15:17:54,2020-02-11 15:19:19,do not know,do not know
56,2020-02-11 15:19:04,2,en,1225337844,2020-02-11 15:17:58,2020-02-11 15:19:04,y will decrease,do not know
57,2020-02-11 15:18:57,2,en,1752432423,2020-02-11 15:17:58,2020-02-11 15:18:57,y will decrease,y will increase
58,2020-02-11 15:18:31,2,en,1080402721,2020-02-11 15:17:59,2020-02-11 15:18:31,do not know,do not know
